Motherboard,Intel,DX58SO,230,http://www.intel.com/products/desktop/motherboards/DX58SO/DX58SO-overview.htm,http://www.google.com/products/catalog?q=DX58SO&hl=en&cid=5384226116096246904,16,DDR3,2,3,2,ATX,4,8,6400,Intel X58,Intel ICH10R,FALSE,24,0,1,TRUE,FALSE,1366,1600/1333/1066,6,0,0
Motherboard,Biostar,H55 HD,75,http://www.biostar-usa.com/app/en-us/mb/content.php?S_ID=473,http://www.google.com/products/catalog?q=H55+HD&hl=en&cid=1282510718882643701,8,DDR3,2,1,1,Micro ATX,2,4,2500,Intel H55,nil,FALSE,24,1,2,FALSE,FALSE,1156,1600/1333/1066/800,4,0,1
Motherboard,Biostar,G41 HD,55,http://www.biostar-usa.com/app/en-us/mb/content.php?S_ID=476,http://www.google.com/products/catalog?q=G41+HD&hl=en&cid=16895779511423458389,4,DDR3,2,1,0,Micro ATX,2,4,1333,Intel G41,Intel ICH7,FALSE,24,0,2,FALSE,FALSE,775,1333/1066/800,4,0,1
Motherboard,Biostar,A780L3G,60,http://www.biostar-usa.com/app/en-us/mb/content.php?S_ID=479,http://www.google.com/products/catalog?q=A780L3G&hl=en&cid=14461108372042446927,8,DDR3,2,1,1,Micro ATX,2,4,5200,AMD 760G,SB710,FALSE,24,0,2,FALSE,FALSE,AM3,1333/1066/800,4,0,1
Motherboard,MSI,Big Bang-XPower,320,http://us.msi.com/index.php?func=proddesc&maincat_no=1&cat2_no=170&prod_no=1988,http://www.google.com/products/catalog?q=Big+Bang-XPower&hl=en&cid=12558492364706685,24,DDR3,3,6,6,EATX,6,8,6400,Intel X58,Intel ICH10R,FALSE,24,1,0,TRUE,FALSE,1366,2133/1800/1600/1333/1066/800,6,2,0
Motherboard,MSI,G41M4-F,55,http://us.msi.com/index.php?func=proddesc&maincat_no=1&cat2_no=170&prod_no=1876,http://www.google.com/products/catalog?q=G41M4-F&hl=en&cid=4158518000132147933,8,DDR2,2,1,0,Micro ATX,2,4,1333,Intel G41,Intel ICH7,FALSE,24,0,2,FALSE,FALSE,775,800/667,4,0,1
Motherboard,MSI,790FX-GD70,175,http://us.msi.com/index.php?func=proddesc&maincat_no=1&cat2_no=171&prod_no=1740,http://www.google.com/products/catalog?q=790FX-GD70&hl=en&cid=16635116187902853940,16,DDR3,2,4,4,ATX,4,8,5200,AMD 790FX,SB750,FALSE,24,1,2,TRUE,FALSE,AM3,2133/1800/1600/1333/1066/800,8,0,1
Motherboard,ASUS,P6T,225,http://usa.asus.com/product.aspx?P_ID=QtpKQuERkuYw6trc&templete=2,http://www.google.com/products/catalog?q=P6T&hl=en&cid=9623178047958964567,24,DDR3,3,3,3,ATX,6,8,6400,Intel X58,Intel ICH10R,FALSE,24,1,2,TRUE,FALSE,1366,2000/1866/1800/1600/1333/1066,6,0,1
Motherboard,ASUS,P5Q SE PLUS,105,http://usa.asus.com/product.aspx?P_ID=gXUQex0X4rGOOh5E&templete=2,http://www.google.com/products/catalog?q=P5Q+SE+PLUS&hl=en&cid=9254542176012995844,16,DDR2,2,1,1,ATX,4,4,1600,Intel P45,Intel ICH10R,FALSE,24,2,3,FALSE,FALSE,775,1200/1066/800/667,6,0,1
Motherboard,ASUS,M4A88T-M,100,http://usa.asus.com/product.aspx?P_ID=B9WLe5U9mVxNwNvL&templete=2,http://www.google.com/products/catalog?q=M4A88T-M&hl=en&cid=190996938248897588,16,DDR3,2,1,1,Micro ATX,4,4,5200,AMD 880G,SB710,FALSE,24,2,1,FALSE,FALSE,AM3,1866/1333/1066,6,0,1
Motherboard,Gigabyte,GA-P55-USB3,130,http://www.gigabyte.com/products/product-page.aspx?pid=3440#ov,http://www.google.com/products/catalog?q=GA-P55-USB3&hl=en&cid=3457804640111341367,16,DDR3,2,2,1,ATX,4,8,2500,Intel P55,nil,FALSE,24,2,3,TRUE,FALSE,1156,2200/1333/1066/800,8,0,1
Motherboard,Gigabyte,GA-890FXA-UD5,195,http://www.gigabyte.com/products/product-page.aspx?pid=3519#ov,http://www.google.com/products/catalog?q=GA-890FXA-UD5&hl=en&cid=16042594988974285020,16,DDR3,2,4,4,ATX,4,8,5200,AMD 890FX,SB850,FALSE,24,2,1,TRUE,FALSE,AM3,2000/1333/1066,2,6,1
Motherboard,ASRock,X58 Extreme3,210,http://www.asrock.com/mb/overview.asp?Model=X58%20Extreme3,http://www.google.com/products/catalog?q=X58+Extreme+3&hl=en&cid=13383737770206592287,24,DDR3,3,3,2,ATX,6,8,6400,Intel X58,Intel ICH10R,FALSE,24,1,2,TRUE,FALSE,1366,2000/1866/1600/1333/1066,6,2,1
Motherboard,ASRock,P43DE3,75,http://www.asrock.com/mb/overview.asp?Model=P43DE3,http://www.google.com/products/catalog?q=P43DE3&hl=en&cid=12696158080329602201,16,DDR3,2,1,1,ATX,4,8,1600,Intel P43,Intel ICH10,FALSE,24,3,2,FALSE,FALSE,775,1600/1333/1066/800,6,0,1
Motherboard,ASRock,M3A785GMH/128M,90,http://www.asrock.com/mb/overview.asp?Model=M3A785GMH/128M,http://www.google.com/products/catalog?q=M3A785GMH/128M&hl=en&cid=1491915718777583159,16,DDR3,2,1,1,Micro ATX,4,4,5200,AMD 785G,SB710,FALSE,24,1,2,FALSE,FALSE,AM3,1600/1333/1066/800,5,0,1
