Hard Drive,Western Digital,WD10EALS,Caviar Blue,75,SATA 3,1TB,7200,32 MB,http://www.wdc.com/en/products/products.asp?driveid=793,http://www.google.com/products/catalog?q=WD+Caviar+Blue+1+TB&hl=en&cid=13346094807263736804
Hard Drive,Western Digital,WD5000AAKB,Caviar Blue,75,IDE/PATA,500 GB,7200,16 MB,http://www.wdc.com/en/products/products.asp?DriveID=297,http://www.google.com/products/catalog?q=WD+Caviar+Blue+500+GB+PATA&hl=en&cid=1046694205613295940
Hard Drive,Western Digital,WD1002FAEX,Caviar Black,100,SATA 6,1 TB,7200,64 MB,http://www.wdc.com/en/products/products.asp?DriveID=792,http://www.google.com/products/catalog?q=WD+Caviar+Black+1+TB&cid=7227007111886761763
Hard Drive,Seagate,ST320005N1A1AS-RK,Barracuda XT,210,SATA 6,2 TB,7200,64 MB,http://www.seagate.com/www/en-us/products/internal-storage/barracuda-xt-kit/#tTabContentSpecifications,http://www.google.com/products/catalog?q=Seagate+barracude+xt&cid=9691367395932816646
Hard Drive,Seagate,ST31000528AS,Barracuda,80,SATA 3,1 TB,7200,32 MB,http://www.seagate.com/www/en-us/products/desktops/barracuda_hard_drives/#tTabContentSpecifications,http://www.google.com/products/catalog?q=Seagate+barracude+1+TB&cid=9930583022644977361
Hard Drive,Lenovo,45J7918,nil,115,SATA 3,1 TB,7200,32 MB,http://shop.lenovo.com/SEUILibrary/controller/e/web/LenovoPortal/en_US/catalog.workflow:item.detail?GroupID=38&Code=45J7918&current-category-id=0179EC7B3B594E64B4B8C1A71065BF7B&&hide_menu_area=yes,http://www.google.com/products/catalog?q=Lenovo+1+TB&cid=7159165593771595888&
Hard Drive,Hitachi,HDS722020ALA330,Deskstar 7K2000,135,SATA 3,2 TB,7200,32 MB,http://www.hitachigst.com/internal-drives/desktop/deskstar/deskstar-7k2000,http://www.google.com/products/catalog?q=Deskstar+7k2000&cid=603216595149596986
Hard Drive,Axiom,HD50072S-AX,nil,100,SATA 3,500 GB,7200,nil,http://www.axiommemory.com/config/products/branded/HD50072S-AX.aspx,http://www.google.com/products/catalog?q=HD50072S-AX&cid=11448844986944342900
Hard Drive,Samsung,HD105SI,EcoGreen,95,SATA 3,1 TB,5400,32 MB,http://www.samsung.com/global/business/hdd/productmodel.do?group=72&type=94&subtype=98&model_cd=511&tab=fea&ppmi=1087,http://www.google.com/products/catalog?q=samsung+ecogreen+1+tb&cid=14289302087530046092
